Customer ID,Purchase Date,Product Category,Product Price,Quantity,Total Purchase Amount,Payment Method,Customer Age,Returns,Customer Name,Gender,Churn,Product Category ID
46251,2020-09-08 09:38:32,Electronics,12,3,740,Credit Card,37,0.0,Christine Hernandez,Male,0,1
46251,2022-03-05 12:56:35,Home,468,4,2739,PayPal,37,0.0,Christine Hernandez,Male,0,2
46251,2022-05-23 18:18:01,Home,288,2,3196,PayPal,37,0.0,Christine Hernandez,Male,0,2
46251,2020-11-12 13:13:29,Clothing,196,1,3509,PayPal,37,0.0,Christine Hernandez,Male,0,3
13593,2020-11-27 17:55:11,Home,449,1,3452,Credit Card,49,0.0,James Grant,Female,1,2
13593,2023-03-07 14:17:42,Home,250,4,575,PayPal,49,1.0,James Grant,Female,1,2
13593,2023-04-15 03:02:33,Electronics,73,1,1896,Credit Card,49,0.0,James Grant,Female,1,1
13593,2021-03-27 21:23:28,Books,337,2,2937,Cash,49,0.0,James Grant,Female,1,4
13593,2020-05-05 20:14:00,Clothing,182,2,3363,PayPal,49,1.0,James Grant,Female,1,3
28805,2023-09-13 04:24:00,Electronics,394,2,1993,Credit Card,19,0.0,Jose Collier,Male,0,1
28805,2021-03-31 09:50:57,Clothing,366,1,246,PayPal,19,0.0,Jose Collier,Male,0,3
28805,2021-01-18 22:42:24,Books,348,1,2682,Credit Card,19,1.0,Jose Collier,Male,0,4
28805,2020-01-07 12:57:35,Books,103,4,731,Cash,19,0.0,Jose Collier,Male,0,4
28805,2021-02-12 20:33:20,Books,240,1,2563,PayPal,19,0.0,Jose Collier,Male,0,4
28805,2020-07-02 02:54:37,Clothing,368,1,1342,Credit Card,19,,Jose Collier,Male,0,3
28961,2021-04-25 23:55:21,Books,30,1,4135,PayPal,55,,James Stein,Male,0,4
28961,2020-01-13 09:57:17,Books,153,5,698,Credit Card,55,0.0,James Stein,Male,0,4
28961,2023-06-18 21:34:27,Clothing,259,1,2975,Credit Card,55,0.0,James Stein,Male,0,3
28961,2021-09-10 00:39:41,Books,489,3,2213,Credit Card,55,1.0,James Stein,Male,0,4
28961,2023-06-01 19:07:10,Books,232,3,4452,PayPal,55,1.0,James Stein,Male,0,4
12163,2021-12-18 17:49:18,Clothing,255,2,1642,Credit Card,67,,Sonia Moreno,Male,0,3
12163,2020-06-20 05:56:17,Books,227,3,887,PayPal,67,,Sonia Moreno,Male,0,4
12163,2023-07-08 13:36:47,Clothing,288,2,1405,PayPal,67,0.0,Sonia Moreno,Male,0,3
12163,2023-07-01 12:36:00,Books,60,3,4130,Cash,67,,Sonia Moreno,Male,0,4
12163,2022-11-16 08:56:03,Home,285,4,384,Crypto,67,,Sonia Moreno,Male,0,2
12163,2020-04-07 04:24:44,Books,100,5,1273,Cash,67,0.0,Sonia Moreno,Male,0,4
12163,2020-11-28 16:48:01,Electronics,28,4,495,Credit Card,67,0.0,Sonia Moreno,Male,0,1
12163,2020-08-21 09:23:52,Electronics,382,2,1532,PayPal,67,1.0,Sonia Moreno,Male,0,1
12163,2023-04-24 23:55:44,Home,400,5,1673,Credit Card,67,1.0,Sonia Moreno,Male,0,2
28248,2023-04-09 01:33:30,Clothing,410,1,445,Cash,48,,Kelly Ramirez,Male,1,3
28248,2020-04-26 21:19:56,Books,70,5,1037,PayPal,48,0.0,Kelly Ramirez,Male,1,4
28248,2023-09-12 20:36:28,Home,243,3,2516,PayPal,48,0.0,Kelly Ramirez,Male,1,2
28248,2021-06-25 14:52:44,Home,131,4,2019,PayPal,48,0.0,Kelly Ramirez,Male,1,2
28248,2021-11-24 07:13:08,Home,327,1,1496,Cash,48,,Kelly Ramirez,Male,1,2
28248,2022-09-22 17:12:16,Books,405,3,1687,PayPal,48,1.0,Kelly Ramirez,Male,1,4
28248,2021-08-03 09:41:40,Electronics,219,2,468,PayPal,48,0.0,Kelly Ramirez,Male,1,1
6761,2021-11-29 12:56:23,Books,218,5,3034,Credit Card,46,0.0,Johnny Peterson,Female,0,4
